"short_name","website","asn","peering_policy","ipv4_address","ipv6_address","mac_addresses","site_name","port_ref","port_type_desc","port_speed","service_type","multicast","network","membership_type"
"Advania","http://www.advania.com/","30818","Open","195.66.224.6","","a80c.0d7f.fc99","Telehouse North","edge1-thn xe-5/0/1","10G","10000","Regular","No","London Juniper","full"
"Afilias Limited","http://www.afilias.info","12041","Open","195.66.236.55","","5c5e.ab0a.98f0","Telehouse North","switch33 15","1000","1000","Regular","No","London Extreme","full"
"Afilias Limited","http://www.afilias.info","12041","Open","195.66.224.55","2001:7f8:4::2f09:1","5c5e.ab0a.98f0","Telehouse North","edge5-thn VLAN: 838","ConneXions","1000","ConneXions","No","London Juniper","full"
"AFNIC","http://www.afnic.fr/","2484","Open","195.66.227.3","2001:7f8:4::9b4:1","6487.885e.5f19","Telehouse North","edge1-thn ge-8/3/1","1000","1000","Regular","No","London Juniper","full"
"Ai Networks Ltd","http://www.ai.co.uk","50056","Open","195.66.225.217","2001:7f8:4::c388:1","cc4e.2447.8700","Telehouse East","edge2-the VLAN: 984","ConneXions","1000","ConneXions","No","London Juniper","full,<a href="/join/connexions/index.html">ConneXions</a>"
"Ai Networks Ltd","http://www.ai.co.uk","50056","Open","195.66.237.217","2001:7f8:4:1::c388:1","cc4e.2447.9600","Telehouse North","switch65 VLAN: 978","ConneXions","1000","ConneXions","No","London Extreme","full,<a href="/join/connexions/index.html">ConneXions</a>"
"Ai Networks Ltd","http://www.ai.co.uk","No IP (Reseller Port)","No data","","","","Telehouse North","switch65 2/43","10G","10000","Reseller","No","London Extreme","full,<a href="/join/connexions/index.html">ConneXions</a>"
"Ai Networks Ltd","http://www.ai.co.uk","No IP (Reseller Port)","No data","","","","Telehouse East","edge2-the xe-3/2/2","10G","10000","Reseller","No","London Juniper","full,<a href="/join/connexions/index.html">ConneXions</a>"
"Airangel Ltd","http://www.airangel.com","203057","No data","195.66.227.30","","d4ca.6d89.5de4","Telehouse East","edge1-the ge-8/0/9","1000","1000","Regular","No","London Juniper","full"
"Airangel Ltd","http://www.airangel.com","203057","No data","195.66.239.30","","d4ca.6d89.5de6","Telehouse East","switch35 15","1000","1000","Regular","No","London Extreme","full"
"Airband Community Internet Ltd","http://www.airband.co","203568","Open","195.66.227.36","2001:7f8:4::3:1b30:1","58ac.7850.ff02","Telehouse North","edge1-thn ge-7/1/0","1000","1000","Regular","No","London Juniper","full"
"Airband Community Internet Ltd","http://www.airband.co","203568","Open","195.66.239.36","2001:7f8:4:1::3:1b30:1","00c8.8b49.8902","Telehouse North","switch30 7","1000","1000","Regular","No","London Extreme","full"
"Aire Networks del Mediterraneo S.L.U","http://www.airenetworks.es/en/","29119","Selective","195.66.227.29","2001:7f8:4::71bf:1","f4a7.39d0.b905","Telehouse North","edge5-thn VLAN: 2304","ConneXions","10000","ConneXions","No","London Juniper","full"
"Akamai Technologies, Inc.","http://www.akamai.com/","32787","Selective","195.66.236.31","2001:7f8:4:1::8013:1","e4c7.224c.b2a7, 10f3.1166.8ae2, e4c7.224c.b2a2, 10f3.1166.8ae7, a80c.0d0d.cb05","Equinix LD4/LD5 (Slough)","switch52 3/19","10G","10000","Regular","No","London Extreme","full"
"Akamai Technologies, Inc.","http://www.akamai.com/","20940","Open","195.66.244.53","2001:7f8:4:2::51cc:1","3c8a.b06b.2fc2","Telecity Manchester 1 (Williams House)","edge2-tcw.man1 0/17","10G","10000","Regular","No","IXManchester","full"
"Akamai Technologies, Inc.","http://www.akamai.com/","20940","Open","195.66.244.53","2001:7f8:4:2::51cc:1","3c8a.b06b.2fc2","Telecity Manchester 1 (Williams House)","edge2-tcw.man1 0/20","10G","10000","Regular","No","IXManchester","full"
"Akamai Technologies, Inc.","http://www.akamai.com/","32787","Selective","195.66.224.31","2001:7f8:4::8013:1","4055.392f.7651","Equinix LD4/LD5 (Slough)","edge2-eq4 et-4/1/5","100G","100000","Regular","No","London Juniper","full"
"Akamai Technologies, Inc.","http://www.akamai.com/","32787","Selective","195.66.224.31","2001:7f8:4::8013:1","4055.392f.7651","Equinix LD4/LD5 (Slough)","edge2-eq4 et-4/0/5","100G","100000","Regular","No","London Juniper","full"
"Akamai Technologies, Inc.","http://www.akamai.com/","20940","Open","206.55.196.30","2001:504:31::51cc:1","84c1.c10c.1470","DFT Ashburn, VA","edge1-dft.nva1 xe-11/0/3","10G","10000","Regular","No","LINX NoVA","full"
"Akamai Technologies, Inc.","http://www.akamai.com/","32787","Selective","195.66.224.31","2001:7f8:4::8013:1","4055.392f.7651","Equinix LD4/LD5 (Slough)","edge2-eq4 et-8/0/2","100G","100000","Regular","No","London Juniper","full"
"Akamai Technologies, Inc.","http://www.akamai.com/","32787","Selective","195.66.236.31","2001:7f8:4:1::8013:1","e4c7.224c.b2a7, 10f3.1166.8ae2, e4c7.224c.b2a2, 10f3.1166.8ae7, a80c.0d0d.cb05","Equinix LD4/LD5 (Slough)","switch52 3/17","10G","10000","Regular","No","London Extreme","full"
"Akamai Technologies, Inc.","http://www.akamai.com/","20940","Open","195.66.244.53","2001:7f8:4:2::51cc:1","3c8a.b06b.2fc2","Telecity Manchester 1 (Williams House)","edge2-tcw.man1 0/19","10G","10000","Regular","No","IXManchester","full"
"Akamai Technologies, Inc.","http://www.akamai.com/","20940","Open","195.66.224.168","2001:7f8:4::51cc:1","e0ac.f17d.5aeb","Telecity Harbour exchange 8 - 9","edge2-tch et-3/3/0","100G","100000","Regular","No","London Juniper","full"
"Akamai Technologies, Inc.","http://www.akamai.com/","20940","Open","195.66.224.168","2001:7f8:4::51cc:1","e0ac.f17d.5aeb","Telecity Harbour exchange 8 - 9","edge2-tch et-8/1/0","100G","100000","Regular","No","London Juniper","full"
"Akamai Technologies, Inc.","http://www.akamai.com/","20940","Open","195.66.226.81","2001:7f8:4::51cc:2","7819.f73c.0fc3","Interxion LON2","edge1-in2 et-2/1/0","100G","100000","Regular","No","London Juniper","full"
"Akamai Technologies, Inc.","http://www.akamai.com/","20940","Open","195.66.226.81","2001:7f8:4::51cc:2","7819.f73c.0fc3","Interxion LON2","edge1-in2 et-2/3/0","100G","100000","Regular","No","London Juniper","full"
"Akamai Technologies, Inc.","http://www.akamai.com/","32787","Selective","195.66.236.31","2001:7f8:4:1::8013:1","e4c7.224c.b2a7, 10f3.1166.8ae2, e4c7.224c.b2a2, 10f3.1166.8ae7, a80c.0d0d.cb05","Equinix LD4/LD5 (Slough)","switch52 3/18","10G","10000","Regular","No","London Extreme","full"
"Akamai Technologies, Inc.","http://www.akamai.com/","32787","Selective","195.66.236.31","2001:7f8:4:1::8013:1","e4c7.224c.b2a7, 10f3.1166.8ae2, e4c7.224c.b2a2, 10f3.1166.8ae7, a80c.0d0d.cb05","Equinix LD4/LD5 (Slough)","switch52 3/20","10G","10000","Regular","No","London Extreme","full"
"Akamai Technologies, Inc.","http://www.akamai.com/","32787","Selective","195.66.224.31","2001:7f8:4::8013:1","4055.392f.7651","Equinix LD4/LD5 (Slough)","edge2-eq4 et-9/0/2","100G","100000","Regular","No","London Juniper","full"
"Akamai Technologies, Inc.","http://www.akamai.com/","20940","Open","195.66.244.53","2001:7f8:4:2::51cc:1","3c8a.b06b.2fc2","Telecity Manchester 1 (Williams House)","edge2-tcw.man1 0/18","10G","10000","Regular","No","IXManchester","full"
"Allied Telecom Group","http://www.alliedtelecom.net","22925","Open","206.55.196.39","2001:504:31::598d:1","0013.5f21.dfc0","DFT Ashburn, VA","edge1-dft.nva1 xe-0/1/1","10G","10000","Regular","No","LINX NoVA","full"
"Alpari Limited","http://www.alpari.com","51297","No data","195.66.227.54","2001:7f8:4::c861:1","1803.73fb.08d3","Equinix LD4/LD5 (Slough)","edge1-eq4 ge-5/3/3","1000","1000","Regular","No","London Juniper","full"
"Amatis Networks","http://www.amatisnetworks.com","34442","Open","195.66.225.135","2001:7f8:4::868a:1","046c.9d59.005a","Telehouse East","edge1-the ge-8/0/3","1000","1000","Regular","No","London Juniper","full"
"Amatis Networks","http://www.amatisnetworks.com","34442","Open","195.66.225.135","2001:7f8:4::868a:1","046c.9d59.005a","Telehouse East","edge1-the ge-8/1/9","1000","1000","Regular","No","London Juniper","full"
"Amazon","http://www.amazon.com/","16509","Open","206.55.196.43","2001:504:31::407d:1","2e6b.f54f.5ae5","DFT Ashburn, VA","edge1-dft.nva1 xe-11/0/1","10G","10000","Regular","No","LINX NoVA","full"
"Amazon","http://www.amazon.com/","16509","Open","195.66.244.42","2001:7f8:4:2::407d:1","7ce2.cad0.dae6","Telecity Manchester 3 (Joule House)","edge2-tcj.man1 25","10G","10000","Regular","No","IXManchester","full"
"Amazon","http://www.amazon.com/","16509","Open","195.66.244.42","2001:7f8:4:2::407d:1","7ce2.cad0.dae6","Telecity Manchester 3 (Joule House)","edge2-tcj.man1 30","10G","10000","Regular","No","IXManchester","full"
"Amazon","http://www.amazon.com/","16509","Open","195.66.244.42","2001:7f8:4:2::407d:1","7ce2.cad0.dae6","Telecity Manchester 3 (Joule House)","edge2-tcj.man1 34","10G","10000","Regular","No","IXManchester","full"
"Amazon","http://www.amazon.com/","16509","Open","195.66.244.42","2001:7f8:4:2::407d:1","7ce2.cad0.dae6","Telecity Manchester 3 (Joule House)","edge2-tcj.man1 32","10G","10000","Regular","No","IXManchester","full"
"Amazon","http://www.amazon.com/","16509","Open","195.66.244.42","2001:7f8:4:2::407d:1","7ce2.cad0.dae6","Telecity Manchester 3 (Joule House)","edge2-tcj.man1 36","10G","10000","Regular","No","IXManchester","full"
"Amazon","http://www.amazon.com/","16509","Open","195.66.225.175","2001:7f8:4::407d:1","7a19.f7ea.7822","Digital Realty Sovereign House","edge2-rbs et-4/1/0","100G","100000","Regular","No","London Juniper","full"
"Amazon","http://www.amazon.com/","16509","Open","195.66.244.42","2001:7f8:4:2::407d:1","7ce2.cad0.dae6","Telecity Manchester 3 (Joule House)","edge2-tcj.man1 27","10G","10000","Regular","No","IXManchester","full"
"Amazon","http://www.amazon.com/","16509","Open","195.66.244.42","2001:7f8:4:2::407d:1","7ce2.cad0.dae6","Telecity Manchester 3 (Joule House)","edge2-tcj.man1 31","10G","10000","Regular","No","IXManchester","full"
"Amazon","http://www.amazon.com/","16509","Open","195.66.244.42","2001:7f8:4:2::407d:1","7ce2.cad0.dae6","Telecity Manchester 3 (Joule House)","edge2-tcj.man1 29","10G","10000","Regular","No","IXManchester","full"
"Amazon","http://www.amazon.com/","16509","Open","195.66.225.175","2001:7f8:4::407d:1","7a19.f7ea.7822","Digital Realty Sovereign House","edge2-rbs et-4/3/0","100G","100000","Regular","No","London Juniper","full"
"Amazon","http://www.amazon.com/","16509","Open","195.66.237.175","2001:7f8:4:1::407d:1","5c45.2781.0f08","Equinix LD4/LD5 (Slough)","switch52 8/31","100G","100000","Regular","No","London Extreme","full"
"Amazon","http://www.amazon.com/","16509","Open","195.66.244.42","2001:7f8:4:2::407d:1","7ce2.cad0.dae6","Telecity Manchester 3 (Joule House)","edge2-tcj.man1 28","10G","10000","Regular","No","IXManchester","full"
"Amazon","http://www.amazon.com/","16509","Open","195.66.244.42","2001:7f8:4:2::407d:1","7ce2.cad0.dae6","Telecity Manchester 3 (Joule House)","edge2-tcj.man1 26","10G","10000","Regular","No","IXManchester","full"
"Amazon","http://www.amazon.com/","16509","Open","195.66.244.42","2001:7f8:4:2::407d:1","7ce2.cad0.dae6","Telecity Manchester 3 (Joule House)","edge2-tcj.man1 33","10G","10000","Regular","No","IXManchester","full"
"Amazon","http://www.amazon.com/","16509","Open","206.55.196.43","2001:504:31::407d:1","2e6b.f54f.5ae5","DFT Ashburn, VA","edge1-dft.nva1 xe-11/0/2","10G","10000","Regular","No","LINX NoVA","full"
"Amazon","http://www.amazon.com/","16509","Open","195.66.237.175","2001:7f8:4:1::407d:1","5c45.2781.0f08","Equinix LD4/LD5 (Slough)","switch52 7/1","100G","100000","Regular","No","London Extreme","full"
"Amazon","http://www.amazon.com/","16509","Open","195.66.244.42","2001:7f8:4:2::407d:1","7ce2.cad0.dae6","Telecity Manchester 3 (Joule House)","edge2-tcj.man1 35","10G","10000","Regular","No","IXManchester","full"
"Andrews & Arnold Ltd","http://www.aaisp.net.uk","20712","Open","195.66.237.47","2001:7f8:4:1::50e8:1","0003.9726.800b","Telehouse North","switch31 0/9","1000","1000","Regular","No","London Extreme","full"
"Andrews & Arnold Ltd","http://www.aaisp.net.uk","20712","Open","195.66.224.60","2001:7f8:4::50e8:2","0003.9744.8009","Telecity Harbour exchange 8 - 9","edge1-tch ge-4/3/4","1000","1000","Regular","No","London Juniper","full"
"Andrews & Arnold Ltd","http://www.aaisp.net.uk","20712","Open","195.66.225.47","2001:7f8:4::50e8:1","0003.9743.c006","Telehouse North","edge1-thn ge-7/3/6","1000","1000","Regular","No","London Juniper","full"
"ANEXIA Internetdienstleistungs GmbH","http://www.anexia-it.com","42473","Selective","195.66.244.85","2001:7f8:4:2::a5e9:1","0050.568e.3f76","Telecity Manchester 1 (Williams House)","edge3-tcw.man1 0/10","1000","1000","Regular","No","IXManchester","full"
"ANEXIA Internetdienstleistungs GmbH","http://www.anexia-it.com","42473","Selective","195.66.226.113","2001:7f8:4::a5e9:1","0019.5500.96e0","Telehouse North","edge3-thn ge-7/0/6","1000","1000","Regular","No","London Juniper","full"
"ANEXIA Internetdienstleistungs GmbH","http://www.anexia-it.com","42473","Selective","195.66.238.113","2001:7f8:4:1::a5e9:1","0019.5500.96e1","Telehouse North","switch33 45","1000","1000","Regular","No","London Extreme","full"
"ANEXIO","https://www.anexio.com","64252","Open","206.55.196.32","2001:504:31::fafc:1","d46d.504c.11f5","DFT Ashburn, VA","edge1-dft.nva1 xe-0/1/0","10G","10000","Regular","No","LINX NoVA","<a href="/join/connexions/index.html">ConneXions</a>,full"
"Angola Cables","http://angolacables.co.ao/","37468","Selective","195.66.226.95","2001:7f8:4::925c:1","28a2.4bfd.5ae3","Interxion LON2","edge1-in2 xe-9/2/1","10G","10000","Regular","No","London Juniper","full"
"Antel Germany Gmbh","http://www.gtsce.net/","5588","Selective","195.66.224.58","2001:7f8:4::15d4:1","78ba.f94c.7d59","Telehouse East","edge1-the xe-2/1/2","10G","10000","Regular","No","London Juniper","full"
"Antheus Telecom Ltd","http://antheus.co.uk/","60157","Open","195.66.226.175","2001:7f8:4::eafd:1","58f3.9cb6.e280","Telehouse West","edge1-thw ge-8/0/9","1000","1000","Regular","No","London Juniper","full"
"Antheus Telecom Ltd","http://antheus.co.uk/","60157","Open","195.66.238.175","2001:7f8:4:1::eafd:1","88f0.31d1.7b83","Telehouse West","switch48 7","1000","1000","Regular","No","London Extreme","full"
"Aplikanusa Lintasarta","http://www.lintasarta.net/en-us/home.aspx","4800","Open","195.66.226.132","2001:7f8:4::12c0:1","b0a8.6e76.67f0","Telehouse North","edge1-thn ge-8/1/8","1000","1000","Regular","No","London Juniper","full"
"Apple Europe Limited","http://www.apple.com","714","Selective","195.66.226.146","2001:7f8:4::2ca:1","46f4.772a.425d","Equinix LD4/LD5 (Slough)","edge2-eq4 et-8/1/2","100G","100000","Regular","No","London Juniper","full"
"Apple Europe Limited","http://www.apple.com","714","Selective","195.66.238.147","2001:7f8:4:1::2ca:3","46f4.7728.ae92","Telehouse West","switch47 38","10G","10000","Regular","No","London Extreme","full"
"Apple Europe Limited","http://www.apple.com","714","Selective","195.66.226.145","","46f4.7729.ef5c","Equinix LD4/LD5 (Slough)","edge2-eq4 et-9/0/5","100G","100000","Regular","No","London Juniper","full"
"Apple Europe Limited","http://www.apple.com","714","Selective","195.66.226.145","","46f4.7729.ef5c","Equinix LD4/LD5 (Slough)","edge2-eq4 et-8/0/5","100G","100000","Regular","No","London Juniper","full"
"Apple Europe Limited","http://www.apple.com","714","Selective","195.66.226.148","2001:7f8:4::2ca:4","46f4.7728.4d91","Telehouse West","edge4-thw et-3/3/0","100G","100000","Regular","No","London Juniper","full"
"Apple Europe Limited","http://www.apple.com","714","Selective","195.66.238.147","2001:7f8:4:1::2ca:3","46f4.7728.ae92","Telehouse West","switch47 37","10G","10000","Regular","No","London Extreme","full"
"Apple Europe Limited","http://www.apple.com","714","Selective","195.66.238.145","2001:7f8:4:1::2ca:1","46f4.7729.ee93","Telecity Harbour exchange 8 - 9","switch64 3/29","10G","10000","Regular","No","London Extreme","full"
"Apple Europe Limited","http://www.apple.com","714","Selective","195.66.238.146","2001:7f8:4:1::2ca:2","46f4.772a.4194","Telecity Harbour exchange 8 - 9","switch64 3/31","10G","10000","Regular","No","London Extreme","full"
"Apple Europe Limited","http://www.apple.com","714","Selective","195.66.238.145","2001:7f8:4:1::2ca:1","46f4.7729.ee93","Telecity Harbour exchange 8 - 9","switch64 3/27","10G","10000","Regular","No","London Extreme","full"
"Apple Europe Limited","http://www.apple.com","714","Selective","195.66.238.147","2001:7f8:4:1::2ca:3","46f4.7728.ae92","Telehouse West","switch47 35","10G","10000","Regular","No","London Extreme","full"
"Apple Europe Limited","http://www.apple.com","714","Selective","195.66.238.145","2001:7f8:4:1::2ca:1","46f4.7729.ee93","Telecity Harbour exchange 8 - 9","switch64 3/28","10G","10000","Regular","No","London Extreme","full"
"Apple Europe Limited","http://www.apple.com","714","Selective","195.66.238.148","2001:7f8:4:1::2ca:4","46f4.7728.4d8f","Telehouse West","switch47 26","10G","10000","Regular","No","London Extreme","full"
"Apple Europe Limited","http://www.apple.com","714","Selective","195.66.244.80","2001:7f8:4:2::2ca:2","6464.9bbb.f4c4","Telecity Manchester 3 (Joule House)","edge1-tcj.man1 0/19","10G","10000","Regular","No","IXManchester","full"
"Apple Europe Limited","http://www.apple.com","714","Selective","195.66.244.79","2001:7f8:4:2::2ca:1","6464.9bbb.d3c4","Telecity Manchester 3 (Joule House)","edge1-tcj.man1 0/15","10G","10000","Regular","No","IXManchester","full"
"Apple Europe Limited","http://www.apple.com","714","Selective","195.66.226.148","2001:7f8:4::2ca:4","46f4.7728.4d91","Telehouse West","edge4-thw et-3/1/0","100G","100000","Regular","No","London Juniper","full"
"Apple Europe Limited","http://www.apple.com","714","Selective","195.66.238.148","2001:7f8:4:1::2ca:4","46f4.7728.4d8f","Telehouse West","switch47 28","10G","10000","Regular","No","London Extreme","full"
"Apple Europe Limited","http://www.apple.com","714","Selective","195.66.244.80","2001:7f8:4:2::2ca:2","6464.9bbb.f4c4","Telecity Manchester 3 (Joule House)","edge1-tcj.man1 0/20","10G","10000","Regular","No","IXManchester","full"
"Apple Europe Limited","http://www.apple.com","714","Selective","195.66.244.80","2001:7f8:4:2::2ca:2","6464.9bbb.f4c4","Telecity Manchester 3 (Joule House)","edge1-tcj.man1 0/17","10G","10000","Regular","No","IXManchester","full"
"Apple Europe Limited","http://www.apple.com","714","Selective","195.66.238.146","2001:7f8:4:1::2ca:2","46f4.772a.4194","Telecity Harbour exchange 8 - 9","switch64 3/32","10G","10000","Regular","No","London Extreme","full"
"Apple Europe Limited","http://www.apple.com","714","Selective","195.66.238.146","2001:7f8:4:1::2ca:2","46f4.772a.4194","Telecity Harbour exchange 8 - 9","switch64 3/33","10G","10000","Regular","No","London Extreme","full"
"Apple Europe Limited","http://www.apple.com","714","Selective","195.66.244.79","2001:7f8:4:2::2ca:1","6464.9bbb.d3c4","Telecity Manchester 3 (Joule House)","edge1-tcj.man1 0/14","10G","10000","Regular","No","IXManchester","full"
"Apple Europe Limited","http://www.apple.com","714","Selective","195.66.244.80","2001:7f8:4:2::2ca:2","6464.9bbb.f4c4","Telecity Manchester 3 (Joule House)","edge1-tcj.man1 0/18","10G","10000","Regular","No","IXManchester","full"
"Apple Europe Limited","http://www.apple.com","714","Selective","195.66.226.146","2001:7f8:4::2ca:1","46f4.772a.425d","Equinix LD4/LD5 (Slough)","edge2-eq4 et-9/1/2","100G","100000","Regular","No","London Juniper","full"
"Apple Europe Limited","http://www.apple.com","714","Selective","195.66.238.146","2001:7f8:4:1::2ca:2","46f4.772a.4194","Telecity Harbour exchange 8 - 9","switch64 3/34","10G","10000","Regular","No","London Extreme","full"
"Apple Europe Limited","http://www.apple.com","714","Selective","195.66.244.79","2001:7f8:4:2::2ca:1","6464.9bbb.d3c4","Telecity Manchester 3 (Joule House)","edge1-tcj.man1 0/16","10G","10000","Regular","No","IXManchester","full"
"Apple Europe Limited","http://www.apple.com","714","Selective","195.66.244.79","2001:7f8:4:2::2ca:1","6464.9bbb.d3c4","Telecity Manchester 3 (Joule House)","edge1-tcj.man1 0/21","10G","10000","Regular","No","IXManchester","full"
"Apple Europe Limited","http://www.apple.com","714","Selective","195.66.238.145","2001:7f8:4:1::2ca:1","46f4.7729.ee93","Telecity Harbour exchange 8 - 9","switch64 3/30","10G","10000","Regular","No","London Extreme","full"
"Apple Europe Limited","http://www.apple.com","714","Selective","195.66.226.147","2001:7f8:4::2ca:3","46f4.7728.ae94","Telehouse West","edge5-thw et-8/1/5","100G","100000","Regular","No","London Juniper","full"
"Apple Europe Limited","http://www.apple.com","714","Selective","195.66.226.147","2001:7f8:4::2ca:3","46f4.7728.ae94","Telehouse West","edge5-thw et-9/0/2","100G","100000","Regular","No","London Juniper","full"
"Apple Europe Limited","http://www.apple.com","714","Selective","195.66.238.148","2001:7f8:4:1::2ca:4","46f4.7728.4d8f","Telehouse West","switch47 25","10G","10000","Regular","No","London Extreme","full"
"Apple Europe Limited","http://www.apple.com","714","Selective","195.66.238.148","2001:7f8:4:1::2ca:4","46f4.7728.4d8f","Telehouse West","switch47 27","10G","10000","Regular","No","London Extreme","full"
"Apple Europe Limited","http://www.apple.com","714","Selective","195.66.238.147","2001:7f8:4:1::2ca:3","46f4.7728.ae92","Telehouse West","switch47 36","10G","10000","Regular","No","London Extreme","full"
"Aptus Solutions Limited","http://www.aptus.co.tz","37349","Open","195.66.225.219","2001:7f8:4::91e5:1","000c.29dc.6095","Telehouse North","edge2-thn VLAN: 3002","ConneXions","1000","ConneXions","No","London Juniper","full"
"aq Limited","http://aql.com","33920","Selective","195.66.225.115","2001:7f8:4::8480:1","748e.f838.e4c1","Telehouse East","edge1-the ge-8/1/0","1000","1000","Regular","No","London Juniper","full"
"aq Limited","http://aql.com","33920","Selective","195.66.225.115","2001:7f8:4::8480:1","748e.f838.e4c1","Telehouse East","edge1-the ge-8/2/0","1000","1000","Regular","No","London Juniper","full"
"aq Limited","http://aql.com","33920","Selective","195.66.244.40","2001:7f8:4:2::8480:1","f01c.2dc5.48b2","Telecity Manchester 1 (Williams House)","edge3-tcw.man1 0/29","1000","1000","Regular","No","IXManchester","full"
"ASDASD srl","http://www.asdasd.it","28929","Open","195.66.225.99","2001:7f8:4::7101:1","fc5b.392a.8a80","Telehouse North","edge5-thn VLAN: 1840","ConneXions","500","ConneXions","No","London Juniper","full"
"Ask4 Limited","http://www.ask4.com","41230","Open","195.66.224.104","","2899.3a4d.2dd5","Telecity Harbour exchange 8 - 9","edge2-tch xe-4/3/0","10G","10000","Regular","No","London Juniper","full"
"Ask4 Limited","http://www.ask4.com","41230","Open","195.66.244.23","","2899.3a06.68db","Telecity Manchester 1 (Williams House)","edge1-tcw.man1 0/17","10G","10000","Regular","No","IXManchester","full"
"Ask4 Limited","http://www.ask4.com","41230","Open","195.66.224.104","","2899.3a4d.2dd5","Telecity Harbour exchange 8 - 9","edge2-tch xe-4/2/0","10G","10000","Regular","No","London Juniper","full"
"Aspire Technology Solutions Ltd","http://www.aspirets.com/","51043","Open","195.66.226.200","2001:7f8:4::c763:1","0018.74f1.0000","Telehouse North","edge1-thn xe-4/0/3","10G","10000","Regular","No","London Juniper","full"
"Aspire Technology Solutions Ltd","http://www.aspirets.com/","51043","Open","195.66.244.89","","fc99.47ce.6d00","Telecity Manchester 1 (Williams House)","edge3-tcw.man1 0/26","1000","1000","Regular","No","IXManchester","full"
"Aspire Technology Solutions Ltd","http://www.aspirets.com/","51043","Open","195.66.238.200","2001:7f8:4:1::c763:1","e0ac.f13c.89db","Telehouse West","switch47 40","10G","10000","Regular","No","London Extreme","full"
