"Organisation"	"Peering Contact"	"Switch"	"AS number"	"LAN"	"ISP (v4)"	"ISP (v6)"	"Multicast"	"MDX"	"Peers with route server"	"Location"	"Connection"	"Policy"	"Speed"
"Advo ICT Professionals"	"noc@mijnasp.nl"	"mym6-phys-1272"	"51646"	"ISP"	"80.249.210.122"	"2001:7f8:1::a505:1646:2"	"no"	"no"	"yes"	"Interxion Science Park"	""	"custom"	"1GE"
"Afilias Ltd."	"pvlaar@afilias.info"	"PXC-GLO-135"	"12041"	"ISP"	"80.249.208.190"	"2001:7f8:1::a501:2041:1"	"no"	"no"	"yes"	"Global Switch"	"LR"	"open"	"10GE"
"AFNIC"	"peering@nic.fr"	"EDGE-TC5-019"	"2484"	"ISP"	"80.249.208.242"	"2001:7f8:1::a500:2484:1"	"no"	"no"	"yes"	"Equinix AM5"	"LX"	"open peering policy"	"1GE"
"Ai Networks Limited"	"peering@ai.co.uk"	"mym6-phys-3416"	"50056"	"ISP"	"80.249.211.33"	"2001:7f8:1::a505:56:1"	"no"	"no"	"yes"	"Equinix AM7"	""	"case-by-case"	"1GE"
"AireNetworks del Mediterraneo S.L.U."	"peering@airenetworks.es"	"PXC-TC5-156"	"29119"	"ISP"	"80.249.211.91"	"2001:7f8:1::a502:9119:1"	"no"	"no"	"yes"	"Equinix AM5"	"LR"	"open"	"10GE"
"AireNetworks del Mediterraneo S.L.U."	"peering@airenetworks.es"	"PXC-TC5-156"	"29119"	"ISP"	"80.249.211.91"	"2001:7f8:1::a502:9119:1"	"no"	"no"	"yes"	"Equinix AM5"	"LR"	"open"	"10GE"
"Akamai International BV."	"peering@akamai.com"	"PXC-TC4-150"	"20940"	"ISP"	"80.249.208.168"	"2001:7f8:1::a502:940:1"	"no"	"no"	"yes"	"Digital Realty AMS04"	"LR4"	"open"	"100GE"
"Akamai International BV."	"peering@akamai.com"	"PXC-TC4-150"	"20940"	"ISP"	"80.249.208.168"	"2001:7f8:1::a502:940:1"	"no"	"no"	"yes"	"Digital Realty AMS04"	"LR4"	"open"	"100GE"
"Akamai International BV."	"peering@akamai.com"	"PXC-IXN-124"	"20940"	"ISP"	"80.249.209.208"	"2001:7f8:1::a502:940:2"	"no"	"no"	"yes"	"InterXion"	"LR4"	"open"	"100GE"
"Akamai International BV."	"peering@akamai.com"	"PXC-IXN-124"	"20940"	"ISP"	"80.249.209.208"	"2001:7f8:1::a502:940:2"	"no"	"no"	"yes"	"InterXion"	"LR4"	"open"	"100GE"
"Akamai International BV."	"peering@akamai.com"	"PXC-TC5-156"	"20940"	"ISP"	"80.249.211.233"	"2001:7f8:1::a502:940:3"	"no"	"no"	"yes"	"Equinix AM5"	"LR4"	"open"	"100GE"
"Akamai International BV."	"peering@akamai.com"	"PXC-TC5-156"	"20940"	"ISP"	"80.249.211.233"	"2001:7f8:1::a502:940:3"	"no"	"no"	"yes"	"Equinix AM5"	"LR4"	"open"	"100GE"
"Akamai International BV."	"peering@akamai.com"	"PXC-DR1-168"	"32787"	"ISP"	"80.249.213.92"	"2001:7f8:1::a503:2787:1"	"no"	"no"	"no"	"Digital Realty AMS01"	"LR4"	"selective"	"100GE"
"Akamai International BV."	"peering@akamai.com"	"PXC-DR1-168"	"32787"	"ISP"	"80.249.213.92"	"2001:7f8:1::a503:2787:1"	"no"	"no"	"no"	"Digital Realty AMS01"	"LR4"	"selective"	"100GE"
"Akamai International BV."	"peering@akamai.com"	"PXC-DR1-168"	"32787"	"ISP"	"80.249.213.92"	"2001:7f8:1::a503:2787:1"	"no"	"no"	"no"	"Digital Realty AMS01"	"LR4"	"selective"	"100GE"
"Alamid"	"peering@alamid-ltd.com"	"EDGE-EQX-015"	"198028"	"ISP"	"80.249.210.61"	""	"no"	"no"	"no"	"Equinix AM1/2"	"LX"	"open"	"1GE"
"Alsharq International Co"	"Peer.Ops@as51254.net"	"mynl-phys-4521"	"51254"	"ISP"	"80.249.213.6"	"2001:7f8:1::a505:1254:1"	"no"	"no"	"no"	"Equinix AM7"	""	"closed"	"1FE"
"Amarutu Technology Ltd"	"peering@koddos.com"	"PXC-NIK-133"	"206264"	"ISP"	"80.249.213.10"	"2001:7f8:1:0:a500:20:6264:1"	"no"	"no"	"yes"	"NIKHEF"	"LR4"	"open"	"100GE"
"Amatis Networks"	"peering@xifos.net"	"mym6-phys-3790"	"34442"	"ISP"	"80.249.211.110"	"2001:7f8:1::a503:4442:1"	"no"	"no"	"yes"	"Equinix AM7"	""	"open"	"2FE"
"Amazon "	"mmc@amazon.com"	"PXC-TEL-125"	"16509"	"ISP"	"80.249.210.100"	"2001:7f8:1::a501:6509:1"	"no"	"no"	"no"	"Equinix AM7"	"LR4"	"open"	"100GE"
"Amazon "	"mmc@amazon.com"	"PXC-TEL-125"	"16509"	"ISP"	"80.249.210.100"	"2001:7f8:1::a501:6509:1"	"no"	"no"	"no"	"Equinix AM7"	"LR4"	"open"	"100GE"
"Amazon "	"mmc@amazon.com"	"PXC-TEL-158"	"16509"	"ISP"	"80.249.210.100"	"2001:7f8:1::a501:6509:1"	"no"	"no"	"no"	"Equinix AM7"	"LR4"	"open"	"100GE"
"Amazon "	"mmc@amazon.com"	"PXC-TEL-158"	"16509"	"ISP"	"80.249.210.100"	"2001:7f8:1::a501:6509:1"	"no"	"no"	"no"	"Equinix AM7"	"LR4"	"open"	"100GE"
"Amazon "	"mmc@amazon.com"	"PXC-EQ3-153"	"16509"	"ISP"	"80.249.210.217"	"2001:7f8:1::a501:6509:2"	"no"	"no"	"no"	"Equinix AM3"	"LR4"	"open"	"100GE"
"Amazon "	"mmc@amazon.com"	"PXC-EQ3-153"	"16509"	"ISP"	"80.249.210.217"	"2001:7f8:1::a501:6509:2"	"no"	"no"	"no"	"Equinix AM3"	"LR4"	"open"	"100GE"
"Amazon "	"mmc@amazon.com"	"PXC-EQ3-153"	"16509"	"ISP"	"80.249.210.217"	"2001:7f8:1::a501:6509:2"	"no"	"no"	"no"	"Equinix AM3"	"LR4"	"open"	"100GE"
"Amazon "	"mmc@amazon.com"	"PXC-EQ3-153"	"16509"	"ISP"	"80.249.210.217"	"2001:7f8:1::a501:6509:2"	"no"	"no"	"no"	"Equinix AM3"	"LR4"	"open"	"100GE"
"Amazon "	"mmc@amazon.com"	"PXC-TEL-158"	"16509"	"ISP"	"80.249.210.217"	"2001:7f8:1::a501:6509:2"	"no"	"no"	"no"	"Equinix AM7"	"LR4"	"open"	"100GE"
"Amazon "	"mmc@amazon.com"	"PXC-TEL-158"	"16509"	"ISP"	"80.249.210.217"	"2001:7f8:1::a501:6509:2"	"no"	"no"	"no"	"Equinix AM7"	"LR4"	"open"	"100GE"
"Amsio B.V."	"noc@amsio.com"	"PXC-GLO-135"	"8315"	"ISP"	"80.249.210.90"	"2001:7f8:1::a500:8315:1"	"no"	"no"	"yes"	"Global Switch"	"LR"	"open"	"10GE"
"ANEXIA Internetdienstleistungs GmbH"	"peering@anexia-it.com"	"mym6-phys-3762"	"42473"	"ISP"	"80.249.211.58"	"2001:7f8:1::a504:2473:1"	"no"	"no"	"no"	"Equinix AM7"	""	"open"	"5FE"
"ANEXIA Internetdienstleistungs GmbH"	"peering@anexia-it.com"	"EDGE-IXN-016"	"42473"	"ISP"	"80.249.213.102"	"2001:7f8:1::a504:2473:2"	"no"	"no"	"yes"	"InterXion"	"LX"	"open"	"1GE"
"Angola Cables"	"peering@angolacables.co.ao"	"PXC-NIK-146"	"37468"	"ISP"	"80.249.213.48"	"2001:7f8:1::a503:7468:1"	"no"	"no"	"yes"	"NIKHEF"	"LR"	"open"	"10GE"
"Antel Germany GmbH"	"ales.dryak@t-mobile.cz"	"PXC-NIK-126"	"5588"	"ISP"	"80.249.209.185"	"2001:7f8:1::a500:5588:1"	"no"	"no"	"yes"	"NIKHEF"	"LR"	"case-by-case"	"10GE"
"ANTIK Telecom, s.r.o."	"ip@antik.sk"	"mym6-phys-4209-2962"	"42841"	"ISP"	"80.249.212.204"	"2001:7f8:1::a504:2841:1"	"no"	"no"	"yes"	"Equinix AM7"	""	"open"	"5GE"
"anycast.io"	"mail@anycast.io"	"EDGE-EVO-018"	"34868"	"ISP"	"80.249.210.139"	"2001:7f8:1::a503:4868:1"	"no"	"no"	"yes"	"EvoSwitch"	"LX"	"open"	"1GE"
"AOFEI DATA INTERNATIONAL"	"yangpf@ofidc.com"	"PXC-EQX-165"	"135391"	"ISP"	"80.249.213.28"	"2001:7f8:1:0:a500:13:5391:1"	"no"	"no"	"yes"	"Equinix AM1/2"	"LR"	"open"	"10GE"
"AOFEI DATA INTERNATIONAL"	"yangpf@ofidc.com"	"PXC-EQX-165"	"135391"	"ISP"	"80.249.213.28"	"2001:7f8:1:0:a500:13:5391:1"	"no"	"no"	"yes"	"Equinix AM1/2"	"LR"	"open"	"10GE"
"Apple Distribution International"	"peering@group.apple.com"	"PXC-EQX-139"	"714"	"ISP"	"80.249.211.160"	"2001:7f8:1::a500:714:1"	"no"	"no"	"no"	"Equinix AM1/2"	"LR4"	"http://as714.peeringdb.com"	"100GE"
"Apple Distribution International"	"peering@group.apple.com"	"PXC-EQX-139"	"714"	"ISP"	"80.249.211.160"	"2001:7f8:1::a500:714:1"	"no"	"no"	"no"	"Equinix AM1/2"	"LR4"	"http://as714.peeringdb.com"	"100GE"
"Apple Distribution International"	"peering@group.apple.com"	"PXC-EQX-139"	"714"	"ISP"	"80.249.211.160"	"2001:7f8:1::a500:714:1"	"no"	"no"	"no"	"Equinix AM1/2"	"LR4"	"http://as714.peeringdb.com"	"100GE"
"Apple Distribution International"	"peering@group.apple.com"	"PXC-NIK-127"	"714"	"ISP"	"80.249.211.183"	"2001:7f8:1::a500:714:2"	"no"	"no"	"no"	"NIKHEF"	"LR4"	"http://as714.peeringdb.com"	"100GE"
"Apple Distribution International"	"peering@group.apple.com"	"PXC-NIK-127"	"714"	"ISP"	"80.249.211.183"	"2001:7f8:1::a500:714:2"	"no"	"no"	"no"	"NIKHEF"	"LR4"	"http://as714.peeringdb.com"	"100GE"
"Apple Distribution International"	"peering@group.apple.com"	"PXC-NIK-127"	"714"	"ISP"	"80.249.211.183"	"2001:7f8:1::a500:714:2"	"no"	"no"	"no"	"NIKHEF"	"LR4"	"http://as714.peeringdb.com"	"100GE"
"AppNexus Inc."	"peering@appnexus.com"	"PXC-EQX-139"	"29990"	"ISP"	"80.249.210.216"	"2001:7f8:1::a502:9990:1"	"no"	"no"	"no"	"Equinix AM1/2"	"LR"	"case-by-case"	"10GE"
"AppNexus Inc."	"peering@appnexus.com"	"PXC-EQX-139"	"29990"	"ISP"	"80.249.210.216"	"2001:7f8:1::a502:9990:1"	"no"	"no"	"no"	"Equinix AM1/2"	"LR"	"case-by-case"	"10GE"
"AppNexus Inc."	"peering@appnexus.com"	"PXC-EQX-139"	"29990"	"ISP"	"80.249.210.216"	"2001:7f8:1::a502:9990:1"	"no"	"no"	"no"	"Equinix AM1/2"	"LR"	"case-by-case"	"10GE"
"AppNexus Inc."	"peering@appnexus.com"	"PXC-EQX-139"	"29990"	"ISP"	"80.249.210.30"	"2001:7f8:1::a502:9990:2"	"no"	"no"	"no"	"Equinix AM1/2"	"LR"	"case-by-case"	"10GE"
"AppNexus Inc."	"peering@appnexus.com"	"PXC-EQX-139"	"29990"	"ISP"	"80.249.210.30"	"2001:7f8:1::a502:9990:2"	"no"	"no"	"no"	"Equinix AM1/2"	"LR"	"case-by-case"	"10GE"
"AppNexus Inc."	"peering@appnexus.com"	"PXC-EQX-139"	"29990"	"ISP"	"80.249.210.30"	"2001:7f8:1::a502:9990:2"	"no"	"no"	"no"	"Equinix AM1/2"	"LR"	"case-by-case"	"10GE"
"Art Of Automation B.V.	"	"NOC@ArtOfAutomation.NET"	"PXC-EVO-143"	"60893"	"ISP"	"80.249.210.227"	"2001:7f8:1::a506:893:1"	"no"	"no"	"no"	"EvoSwitch"	"LR"	"case-by-case"	"10GE"
"Arvato Systems GmbH"	"peering@arvato-systems.de"	"PXC-EQX-154"	"33873"	"ISP"	"80.249.208.178"	"2001:7f8:1::a503:3873:1"	"no"	"no"	"yes"	"Equinix AM1/2"	"LR"	"open"	"10GE"
"Aryaka Networks, Inc."	"ops@aryaka.com"	"EDGE-EQ3-020"	"11179"	"ISP"	"80.249.212.73"	""	"no"	"no"	"yes"	"Equinix AM3"	"LX"	"open"	"1GE"
"Aryaka Networks, Inc."	"ops@aryaka.com"	"EDGE-EQ3-020"	"11179"	"ISP"	"80.249.212.74"	""	"no"	"no"	"yes"	"Equinix AM3"	"LX"	"open"	"1GE"
"AS33891 Netzbetrieb GmbH"	"peering@core-backbone.com"	"PXC-NIK-133"	"33891"	"ISP"	"80.249.209.128"	"2001:7f8:1::a503:3891:1"	"no"	"no"	"yes"	"NIKHEF"	"LR4"	"http://www.core-backbone.com/files/peering_policy.pdf"	"100GE"
"AsdAsd"	"peering@asdasd.it"	"mym6-phys-3840"	"28929"	"ISP"	"80.249.211.252"	"2001:7f8:1::a502:8929:1"	"no"	"no"	"no"	"EvoSwitch"	""	"open"	"2FE"
"ASGCNet"	"peering@asgc.net"	"EDGE-SAR-010"	"24167"	"ISP"	"80.249.208.184"	"2001:7f8:1::a502:4167:1"	"no"	"no"	"yes"	"Interxion Science Park"	"LX"	"open"	"1GE"
"""ASNICOM"" EOOD"	"asnicom@mail.bg"	"mym6-phys-3682-3333"	"62052"	"ISP"	"80.249.212.182"	""	"no"	"no"	"yes"	"EvoSwitch"	""	"open"	"1FE"
"atom86"	"peering@atom86.net"	"mynl-phys-3324"	"8455"	"ISP"	"80.249.211.217"	"2001:7f8:1::a500:8455:1"	"no"	"no"	"no"	"NIKHEF"	""	"case-by-case"	"10GE"
"AT&T Global Network Services Nederland B.V."	"peering@intl.att.com"	"PXC-GLO-135"	"2686"	"ISP"	"80.249.208.194"	"2001:7f8:1::a500:2686:1"	"no"	"no"	"no"	"Global Switch"	"LR"	"case-by-case"	"10GE"
"AT&T Global Network Services Nederland B.V."	"peering@intl.att.com"	"PXC-GLO-135"	"2686"	"ISP"	"80.249.208.194"	"2001:7f8:1::a500:2686:1"	"no"	"no"	"no"	"Global Switch"	"LR"	"case-by-case"	"10GE"
"AT&T Global Network Services Nederland B.V."	"peering@intl.att.com"	"PXC-GLO-135"	"2686"	"ISP"	"80.249.208.194"	"2001:7f8:1::a500:2686:1"	"no"	"no"	"no"	"Global Switch"	"LR"	"case-by-case"	"10GE"
"AT&T Global Network Services Nederland B.V."	"peering@intl.att.com"	"PXC-GLO-135"	"2686"	"ISP"	"80.249.208.194"	"2001:7f8:1::a500:2686:1"	"no"	"no"	"no"	"Global Switch"	"LR"	"case-by-case"	"10GE"
"AT&T Global Network Services Nederland B.V."	"peering@intl.att.com"	"PXC-GLO-135"	"2686"	"ISP"	"80.249.208.194"	"2001:7f8:1::a500:2686:1"	"no"	"no"	"no"	"Global Switch"	"LR"	"case-by-case"	"10GE"
"AT&T Global Network Services Nederland B.V."	"peering@intl.att.com"	"PXC-NIK-146"	"2686"	"ISP"	"80.249.208.37"	"2001:7f8:1::a500:2686:2"	"no"	"no"	"no"	"NIKHEF"	"LR"	"case-by-case"	"10GE"
"AT&T Global Network Services Nederland B.V."	"peering@intl.att.com"	"PXC-NIK-146"	"2686"	"ISP"	"80.249.208.37"	"2001:7f8:1::a500:2686:2"	"no"	"no"	"no"	"NIKHEF"	"LR"	"case-by-case"	"10GE"
"AT&T Global Network Services Nederland B.V."	"peering@intl.att.com"	"PXC-NIK-146"	"2686"	"ISP"	"80.249.208.37"	"2001:7f8:1::a500:2686:2"	"no"	"no"	"no"	"NIKHEF"	"LR"	"case-by-case"	"10GE"
"AT&T Global Network Services Nederland B.V."	"peering@intl.att.com"	"PXC-NIK-146"	"2686"	"ISP"	"80.249.208.37"	"2001:7f8:1::a500:2686:2"	"no"	"no"	"no"	"NIKHEF"	"LR"	"case-by-case"	"10GE"
"AT&T Global Network Services Nederland B.V."	"peering@intl.att.com"	"PXC-NIK-146"	"2686"	"ISP"	"80.249.208.37"	"2001:7f8:1::a500:2686:2"	"no"	"no"	"no"	"NIKHEF"	"LR"	"case-by-case"	"10GE"
"AusRegistry"	"slava.kurenyshev@team.neustar"	"EDGE-EQX-015"	"134390"	"ISP"	"80.249.210.12"	"2001:7f8:1:0:a500:13:4390:1"	"no"	"no"	"yes"	"Equinix AM1/2"	"LX"	"open"	"1GE"
"Aut O'Mattic Ltd."	"peering@automattic.com"	"PXC-EQX-132"	"2635"	"ISP"	"80.249.211.212"	"2001:7f8:1::a500:2635:1"	"no"	"no"	"yes"	"Equinix AM1/2"	"LR"	"open"	"10GE"
"Axess Online"	"noc@axess.fr"	"mym6-phys-3747"	"50812"	"ISP"	"80.249.213.27"	""	"no"	"no"	"yes"	"InterXion"	""	"open"	"1FE"
"Azylog"	"peering@azylog.net"	"mym6-phys-3747"	"41405"	"ISP"	"80.249.212.210"	"2001:7f8:1::a504:1405:1"	"no"	"no"	"yes"	"InterXion"	""	"open"	"1FE"
"Baffin Bay Networks"	"peering@baffinbaynetworks.com"	"PXC-TC5-144"	"42649"	"ISP"	"80.249.213.94"	"2001:7f8:1::a504:2649:1"	"no"	"no"	"yes"	"Equinix AM5"	"LR"	"selective"	"10GE"
"Bahnhof AB"	"peering@bahnhof.net"	"PXC-TEL-138"	"8473"	"ISP"	"80.249.208.99"	"2001:7f8:1::a500:8473:1"	"no"	"no"	"yes"	"Equinix AM7"	"LR"	"case-by-case"	"10GE"
"Bahnhof AB"	"peering@bahnhof.net"	"PXC-TEL-138"	"8473"	"ISP"	"80.249.208.99"	"2001:7f8:1::a500:8473:1"	"no"	"no"	"yes"	"Equinix AM7"	"LR"	"case-by-case"	"10GE"
"Bahnhof AB"	"peering@bahnhof.net"	"PXC-TEL-138"	"8473"	"ISP"	"80.249.208.99"	"2001:7f8:1::a500:8473:1"	"no"	"no"	"yes"	"Equinix AM7"	"LR"	"case-by-case"	"10GE"
"Bahnhof AB"	"peering@bahnhof.net"	"PXC-TEL-138"	"8473"	"ISP"	"80.249.208.99"	"2001:7f8:1::a500:8473:1"	"no"	"no"	"yes"	"Equinix AM7"	"LR"	"case-by-case"	"10GE"
"Bandwidth Technologies Ltd"	"peering@bandwidth.co.uk"	"PXC-EVO-157"	"25369"	"ISP"	"80.249.212.219"	"2001:7f8:1::a502:5369:1"	"no"	"no"	"yes"	"EvoSwitch"	"LR"	"open"	"10GE"
"Basefarm AS"	"peering@basefarm.com"	"PXC-EQX-139"	"25148"	"ISP"	"80.249.209.42"	"2001:7f8:1::a502:5148:1"	"no"	"no"	"no"	"Equinix AM1/2"	"LR"	"open"	"10GE"
"Belcenter ISP"	"peering@as31449.net"	"mym6-phys-3790"	"31449"	"ISP"	"80.249.210.71"	"2001:7f8:1::a503:1449:1"	"no"	"no"	"yes"	"Equinix AM7"	""	"-"	"2FE"
"Belgacom International Carrier Services SA"	"eric.loos@bics.com"	"PXC-SAR-114"	"6774"	"ISP"	"80.249.209.76"	"2001:7f8:1::a500:6774:2"	"no"	"no"	"no"	"Interxion Science Park"	"LR"	"case-by-case"	"10GE"
"Belgacom International Carrier Services SA"	"eric.loos@bics.com"	"PXC-SAR-114"	"6774"	"ISP"	"80.249.209.76"	"2001:7f8:1::a500:6774:2"	"no"	"no"	"no"	"Interxion Science Park"	"LR"	"case-by-case"	"10GE"
"Belgacom International Carrier Services SA"	"eric.loos@bics.com"	"mynl-phys-6030"	"6774"	"ISP"	"80.249.213.124"	""	"no"	"no"	"no"	"Interxion Science Park"	""	"case-by-case"	"60GE"
"Belgian Network Solutions bvba"	"peering@benesol.be"	"phys-20100122-126-003"	"8368"	"ISP"	"80.249.209.97"	"2001:7f8:1::a500:8368:1"	"no"	"no"	"yes"	"NIKHEF"	""	"open"	"3GE"
"Belnet"	"peering@belnet.be"	"PXC-SAR-114"	"2611"	"ISP"	"80.249.208.43"	"2001:7f8:1::a500:2611:1"	"no"	"no"	"yes"	"Interxion Science Park"	"LR"	"open"	"10GE"
"Belnet"	"peering@belnet.be"	"PXC-TEL-140"	"2611"	"ISP"	"80.249.210.44"	"2001:7f8:1::a500:2611:2"	"no"	"no"	"yes"	"Equinix AM7"	"LR"	"open"	"10GE"
"Bezeq International LTD."	"ZivN@BEZEQINT.CO.IL"	"PXC-EVO-157"	"8551"	"ISP"	"80.249.209.46"	"2001:7f8:1::a500:8551:1"	"no"	"no"	"yes"	"EvoSwitch"	"LR"	"all"	"10GE"
"Bezeq International LTD."	"ZivN@BEZEQINT.CO.IL"	"PXC-EVO-157"	"8551"	"ISP"	"80.249.209.46"	"2001:7f8:1::a500:8551:1"	"no"	"no"	"yes"	"EvoSwitch"	"LR"	"all"	"10GE"
"Bharti Airtel (UK) Ltd"	"peering@airtel.com"	"PXC-SAR-134"	"9498"	"ISP"	"80.249.211.191"	"2001:7f8:1::a500:9498:1"	"no"	"no"	"yes"	"Interxion Science Park"	"LR"	"open"	"10GE"
"Bharti Airtel (UK) Ltd"	"peering@airtel.com"	"PXC-SAR-134"	"9498"	"ISP"	"80.249.211.191"	"2001:7f8:1::a500:9498:1"	"no"	"no"	"yes"	"Interxion Science Park"	"LR"	"open"	"10GE"
"Bharti Airtel (UK) Ltd"	"peering@airtel.com"	"PXC-SAR-134"	"9498"	"ISP"	"80.249.211.191"	"2001:7f8:1::a500:9498:1"	"no"	"no"	"yes"	"Interxion Science Park"	"LR"	"open"	"10GE"
"Bharti Airtel (UK) Ltd"	"peering@airtel.com"	"PXC-SAR-134"	"9498"	"ISP"	"80.249.211.191"	"2001:7f8:1::a500:9498:1"	"no"	"no"	"yes"	"Interxion Science Park"	"LR"	"open"	"10GE"
"Bharti Airtel (UK) Ltd"	"peering@airtel.com"	"PXC-SAR-134"	"9498"	"ISP"	"80.249.211.191"	"2001:7f8:1::a500:9498:1"	"no"	"no"	"yes"	"Interxion Science Park"	"LR"	"open"	"10GE"
"Bharti Airtel (UK) Ltd"	"peering@airtel.com"	"PXC-SAR-134"	"9498"	"ISP"	"80.249.211.191"	"2001:7f8:1::a500:9498:1"	"no"	"no"	"yes"	"Interxion Science Park"	"LR"	"open"	"10GE"
"BHost Inc"	"nick@bhost.net"	"EDGE-TC5-019"	"60011"	"ISP"	"80.249.213.136"	"2001:7f8:1::a506:11:1"	"no"	"no"	"yes"	"Equinix AM5"	"LX"	"open"	"1GE"
"BIT BV"	"peering@bit.nl"	"PXC-TEL-120"	"12859"	"ISP"	"80.249.208.200"	"2001:7f8:1::a501:2859:2"	"no"	"no"	"yes"	"Equinix AM7"	"LR"	"open"	"10GE"
"BIT BV"	"peering@bit.nl"	"mym6-phys-1272"	"12859"	"ISP"	"80.249.208.35"	"2001:7f8:1::a501:2859:1"	"no"	"no"	"yes"	"Interxion Science Park"	""	"open"	"5GE"
"Biznet Networks"	"Agus_ariyanto@biznetnetworks.com"	"PXC-EVO-162"	"17451"	"ISP"	"80.249.210.131"	"2001:7f8:1::a501:7451:1"	"no"	"no"	"yes"	"EvoSwitch"	"LR"	"open"	"10GE"
"Blackboard"	"peering@blackboard.com"	"EDGE-EQX-015"	"35156"	"ISP"	"80.249.210.232"	""	"no"	"no"	"yes"	"Equinix AM1/2"	"SX"	"case-by-case"	"1GE"
"BlackGATE BV"	"support@blackgate.nl"	"EDGE-EUN-014"	"201290"	"ISP"	"80.249.213.100"	"2001:7f8:1:0:a500:20:1290:1"	"no"	"no"	"yes"	"euNetworks"	"LX"	"open"	"1GE"
"Blacknight Internet Solutions Ltd"	""	"mym6-phys-3416"	"39122"	"ISP"	"80.249.211.186"	"2001:7f8:1::a503:9122:1"	"no"	"no"	"yes"	"Equinix AM7"	""	"open"	"1GE"
"Blix Solutions AS"	"support@blix.com"	"PXC-TC5-151"	"50304"	"ISP"	"80.249.208.44"	"2001:7f8:1::a505:304:1"	"no"	"no"	"yes"	"Equinix AM5"	"LR"	"case-by-case"	"10GE"
"Blizzard Entertainment"	"peering@blizzard.com"	"PXC-EQX-154"	"57976"	"ISP"	"80.249.208.83"	"2001:7f8:1::a505:7976:1"	"no"	"no"	"yes"	"Equinix AM1/2"	"LR"	"open"	"10GE"
"Blizzard Entertainment"	"peering@blizzard.com"	"PXC-EQX-154"	"57976"	"ISP"	"80.249.208.83"	"2001:7f8:1::a505:7976:1"	"no"	"no"	"yes"	"Equinix AM1/2"	"LR"	"open"	"10GE"
"Blizzard Entertainment"	"peering@blizzard.com"	"PXC-EQX-154"	"57976"	"ISP"	"80.249.208.83"	"2001:7f8:1::a505:7976:1"	"no"	"no"	"yes"	"Equinix AM1/2"	"LR"	"open"	"10GE"
