12333 8801|gva-ch
13030 199511|glattbrugg-ch
13030 199714|dus-de
13030 199811|zrh-ch
13030 200759|winterthur-ch
13030 200979|zrh-ch
13030 201662|zrh-ch
13030 201701|dus-de
13030 202054|mad-es
13030 202194|qls-ch
13030 205959|glattbrugg-ch
13030 206291|bsl-ch
13030 206484|bsl-ch
13030 20704|vie-at
13030 20868|zrh-ch
13030 20988|glattbrugg-ch
13030 21232|glattbrugg-ch
13030 24889|zrh-ch
13030 25164|zrh-ch
13030 25375|zrh-ch
13030 25563|bsl-ch
13030 26803|lax-us
13030 29090|fra-de
13030 29097|glattbrugg-ch
13030 29430|glattbrugg-ch
13030 29668|winterthur-ch
13030 29691|winterthur-ch
13030 30727|bsl-ch
13030 30935|zrh-ch
13030 31662|zrh-ch
13030 33843|fra-de
13030 33965|bsl-ch
13030 34514|zrh-ch
13030 34960|glattbrugg-ch
13030 35206|glattbrugg-ch
13030 35518|zrh-ch
13030 35663|zrh-ch
13030 38940|winterthur-ch
13030 39764|zrh-ch
13030 41481|glattbrugg-ch
13030 41655|winterthur-ch
13030 42473|glattbrugg-ch,mia-us
13030 4250|glattbrugg-ch
13030 42760|glattbrugg-ch
13030 43183|glattbrugg-ch
13030 43284|bsl-ch
13030 43393|zrh-ch
13030 44361|zrh-ch
13030 44776|winterthur-ch
13030 47302|bsl-ch
13030 47649|zrh-ch
13030 48027|zrh-ch
13030 48218|zrh-ch
13030 48983|zrh-ch
13030 49867|bsl-ch
13030 49938|bsl-ch
13030 49983|bsl-ch
13030 50110|zrh-ch
13030 51262|glattbrugg-ch
13030 51395|glattbrugg-ch
13030 58299|bsl-ch
13030 59414|winterthur-ch
13030 59761|glattbrugg-ch
13030 60392|zrh-ch
13030 60804|qls-ch
13030 60890|zrh-ch
13030 61232|zrh-ch
13030 61287|glattbrugg-ch
13030 62177|bsl-ch
13030 62320|glattbrugg-ch
13030 62454|fra-de
13030 6772|bsl-ch
13030 6775|fra-de
13030 6776|zrh-ch
13030 9108|glattbrugg-ch
13101 12586|fra-de
13101 20694|ham-de
13101 20886|fra-de
13101 25279|amstnl-nl
13101 33846|ham-de
13101 34549|fra-de
13101 51531|fra-de
13101 57667|ham-de
13101 8687|ham-de
13101 8893|ham-de
13645 23464|bct-us
13768 10400|yto-ca
13768 11478|ymq-ca
13768 11625|yvr-ca
13768 11626|jfk-us
13768 11772|jfk-us
13768 12068|ashburn-us
13768 14066|yto-ca
13768 1418|ymq-ca
13768 14651|yto-ca
13768 15128|yto-ca
13768 15197|lke-us
13768 16570|yvr-ca
13768 16696|yto-ca
13768 18650|yto-ca
13768 18721|yto-ca
13768 19202|yvr-ca
13768 196962|yto-ca
13768 199330|lax-us
13768 20375|yvr-ca
13768 20940|yvr-ca
13768 21719|jfk-us
13768 21775|yto-ca
13768 22964|yvr-ca
13768 23136|yto-ca
13768 23342|yvr-ca
13768 23419|yto-ca
13768 23498|yvr-ca
13768 2635|lax-us
13768 27232|lon-gb
13768 29861|ymq-ca
13768 29909|ymq-ca
13768 30539|yvr-ca,yto-ca
13768 31931|yvr-ca
13768 32710|yto-ca
13768 35947|yto-ca
13768 36167|yto-ca
13768 36483|yvr-ca,yto-ca,jfk-us
13768 38441|yto-ca
13768 393653|yvr-ca
13768 393676|yvr-ca
13768 394354|yvr-ca
13768 42473|yvr-ca,yto-ca
13768 46482|yvr-ca
13768 46525|yto-ca
13768 4877|yto-ca
13768 5071|yvr-ca
13768 53405|yvr-ca
13768 53479|yto-ca
13768 53525|yto-ca
13768 53612|yto-ca
13768 53845|yto-ca
13768 54023|yto-ca
13768 54044|ymq-ca
13768 54164|yto-ca
13768 54527|mia-us,yvr-ca,lke-us,yto-ca,lax-us,jfk-us
13768 54643|yvr-ca,yto-ca
13768 54652|yvr-ca
13768 55185|yvr-ca
13768 55199|jfk-us
13768 55220|yvr-ca
13768 60890|lax-us
13768 61149|yto-ca
13768 62731|jfk-us
13768 62899|yto-ca
13768 6640|yvr-ca
13768 9090|lon-gb
15412 12486|lon-gb
15412 12880|fra-de,jfk-us,lon-gb
15412 132454|sin-sg,hnknhk-hk
15412 133334|hnknhk-hk
15412 133476|tyo-jp
15412 17685|tyo-jp
15412 17803|bom-in
15412 18097|tyo-jp
15412 18101|lax-us,bom-in
15412 200700|lon-gb
15412 202964|lon-gb
15412 20928|lon-gb
15412 23749|hnknhk-hk
15412 23930|hnknhk-hk
15412 23944|hnknhk-hk
15412 24157|taipei-tw
15412 24331|sel-kr
15412 2527|tyo-jp
15412 260|dxb-ae
15412 27285|lax-us
15412 29384|jfk-us
15412 29664|lon-gb,sin-sg
15412 30873|lon-gb,jfk-us
15412 3087|jfk-us
15412 3097|jfk-us
15412 32590|sin-sg
15412 33788|lon-gb,bom-in
15412 35946|lon-gb
15412 36131|sin-sg
15412 37281|par-fr
15412 37906|tyo-jp
15412 38197|hnknhk-hk
15412 38688|sel-kr
15412 41264|sel-kr
15412 41690|tyo-jp
15412 45224|lon-gb,lax-us,sin-sg,bom-in
15412 45474|taipei-tw
15412 45572|bhbah-bh
15412 45629|sin-sg
15412 45630|sin-sg
15412 45899|hnknhk-hk
15412 4704|tyo-jp
15412 4775|hnknhk-hk
15412 48159|lon-gb
15412 5416|bhbah-bh
15412 55543|hnknhk-hk
15412 55644|lon-gb
15412 59268|taipei-tw
15412 60045|lon-gb
15412 60924|dxb-ae
15412 6517|tyo-jp,hnknhk-hk,jfk-us,lon-gb
15412 7568|sin-sg
15412 8452|lon-gb,aly-eg,cai-eg,jfk-us
15412 8697|lon-gb
15412 9155|dxb-ae
15412 9299|hnknhk-hk
15412 9304|sin-sg,hnknhk-hk
15412 9381|hnknhk-hk
15412 9848|sel-kr
15412 9902|sin-sg,hnknhk-hk
15412 9924|taipei-tw
15412 9957|sel-kr
15857 28982|waw-pl
16265 12389|amstnl-nl
16265 13127|amstnl-nl
16265 16147|amstnl-nl
16265 3292|amstnl-nl
16265 45629|amstnl-nl
16265 58453|amstnl-nl
16265 6866|amstnl-nl
16265 8452|amstnl-nl
16265 9009|amstnl-nl
16265 9381|amstnl-nl
174 10264|yto-ca
174 10566|yto-ca
174 10929|yto-ca
174 10991|par-fr
174 10996|yto-ca
174 11054|lon-gb,amstnl-nl
174 11077|yto-ca
174 11290|yto-ca
174 11342|yto-ca
174 11428|lon-gb
174 11522|yto-ca
174 11636|yto-ca
174 11647|yto-ca
174 11700|yto-ca
174 11798|yto-ca
174 11814|yto-ca
174 11941|tyo-jp,hnknhk-hk
174 12093|yto-ca
174 12212|yto-ca
174 12222|yto-ca
174 12310|buc-ro
174 12322|par-fr
174 12334|mad-es
174 12337|fra-de
174 12338|mad-es
174 12347|zrh-ch
174 12388|dub-ie
174 12389|fra-de
174 12409|par-fr
174 12481|mil-it
174 12533|mil-it
174 12540|mad-es
174 12670|par-fr
174 12715|mad-es
174 12727|par-fr
174 12754|lon-gb
174 12778|lju-si
174 12835|mil-it
174 12870|lon-gb
174 12884|lon-gb
174 12942|bru-be
174 12946|mad-es
174 12956|par-fr,lon-gb
174 13001|par-fr
174 13097|mil-it
174 13156|lis-pt
174 13188|iev-ua
174 132045|par-fr
174 13208|lon-gb
174 13213|par-fr,fra-de,lon-gb
174 132267|lon-gb
174 132418|hnknhk-hk
174 13284|mil-it
174 13319|yto-ca
174 13335|yto-ca,lon-gb
174 133530|dub-ie
174 13360|yto-ca
174 133847|hnknhk-hk
174 134397|sto-se
174 13441|yto-ca
174 13448|dub-ie
174 135025|hnknhk-hk
174 13729|yto-ca
174 13999|mex-mx
174 14116|yto-ca
174 14166|yto-ca
174 14178|mex-mx
174 14442|yto-ca
174 14444|yto-ca
174 14500|yto-ca
174 14537|mex-mx
174 14601|lon-gb
174 14843|yto-ca
174 14870|dub-ie
174 15024|yto-ca
174 15122|yto-ca
174 15128|yto-ca
174 15348|yto-ca
174 15401|par-fr
174 15433|mil-it
174 15471|buc-ro
174 15510|lon-gb
174 15548|mad-es
174 15583|bru-be
174 15654|lon-gb
174 15695|fra-de,mad-es,mil-it
174 15704|mad-es
174 15716|zrh-ch
174 15732|mad-es
174 15734|mad-es
174 15773|lon-gb
174 15796|zrh-ch
174 15806|dub-ie
174 15895|iev-ua
174 15915|mad-es
174 15935|prg-cz
174 15954|mad-es
174 15962|bts-sk
174 16022|ath-gr
174 16024|fra-de
174 16039|mad-es
174 16057|par-fr
174 16065|osl-no
174 16066|iev-ua
174 16071|par-fr
174 16082|lon-gb
174 16095|cph-dk
174 16171|dub-ie
174 16175|osl-no
174 16178|zag-hr
174 16186|osl-no
174 16206|mad-es
174 16253|sto-se
174 16303|lon-gb
174 16315|lon-gb
174 16342|waw-pl
174 16353|lon-gb
174 16414|yto-ca
174 16475|yto-ca
174 16531|mex-mx
174 16633|amstnl-nl
174 16637|lon-gb,amstnl-nl
174 16645|yto-ca
174 16815|amstnl-nl
174 17043|lon-gb
174 17072|mex-mx
174 17330|amstnl-nl
174 17400|lon-gb
174 17506|tyo-jp
174 17557|par-fr
174 18001|par-fr
174 1828|fra-de,dub-ie,lon-gb
174 18646|lon-gb
174 18650|yto-ca
174 1886|zag-hr
174 18911|lon-gb
174 18919|lon-gb
174 18986|yto-ca
174 19080|fra-de
174 19117|yto-ca
174 19276|yto-ca
174 19397|yto-ca,amstnl-nl
174 19551|lon-gb
174 1955|bud-hu
174 19624|buc-ro
174 196658|par-fr
174 196689|par-fr
174 196745|lon-gb
174 196749|mil-it
174 196760|bru-be
174 196765|par-fr
174 196793|sto-se
174 196865|mil-it
174 19696|yto-ca
174 196997|cph-dk
174 19700|yto-ca
174 197017|lon-gb
174 197019|prg-cz
174 197077|mad-es
174 197081|par-fr
174 197101|lon-gb
174 197107|lon-gb
174 197113|waw-pl
174 197118|fra-de
174 197205|par-fr
174 197240|mad-es
174 197252|fra-de
174 197289|tll-ee
174 197415|lux-lu
174 197422|par-fr
174 197426|lon-gb,mad-es
174 197462|par-fr
174 197492|par-fr
174 197508|fra-de
174 197529|lon-gb
174 19752|yto-ca
174 197640|lon-gb
174 197712|mad-es
174 197722|mad-es
174 197764|waw-pl
174 197809|waw-pl
174 197845|mil-it
174 197870|fra-de
174 197883|par-fr
174 197913|lon-gb
174 197922|par-fr
174 197949|bru-be
174 197972|lon-gb
174 197974|mad-es
174 19797|yto-ca
174 198040|waw-pl
174 198047|lon-gb
174 198066|mad-es
174 198082|lon-gb
174 198111|par-fr
174 198156|waw-pl
174 198213|lju-si
174 198240|mil-it
174 198291|mil-it
174 198328|lon-gb
174 198375|par-fr
174 198380|mil-it
174 198385|zrh-ch
174 198426|lon-gb
174 198432|mad-es
174 198435|par-fr
174 198471|mil-it
174 198505|iev-ua
174 198507|par-fr
174 198514|hel-fi
174 198545|par-fr
174 198554|lon-gb
174 198583|par-fr
174 198622|cph-dk
174 198623|lon-gb
174 198636|par-fr
174 198682|par-fr
174 198697|mil-it
174 198725|prg-cz
174 198736|lon-gb
174 198785|zag-hr
174 19884|yto-ca
174 198858|lon-gb
174 198885|mad-es
174 198908|dub-ie
174 198912|fra-de
174 198968|mad-es
174 198978|par-fr
174 198985|par-fr
174 199026|mil-it
174 199027|par-fr
174 199053|amstnl-nl
174 199064|par-fr
174 199074|par-fr
174 199092|zrh-ch
174 199095|bru-be
174 199129|fra-de
174 199143|mad-es
174 199181|mil-it
174 199204|lon-gb
174 199224|lon-gb
174 199226|mad-es
174 199244|zag-hr
174 199256|dub-ie
174 199270|fra-de
174 199272|mad-es
174 199283|lon-gb
174 199286|lon-gb
174 199290|mad-es
174 199325|mil-it
174 199335|lon-gb
174 199346|dub-ie
174 199359|mad-es
174 199385|lon-gb
174 199391|lon-gb,dub-ie,amstnl-nl
174 199456|amstnl-nl
174 199478|mad-es
174 199481|lon-gb
174 199482|mad-es
174 199523|amstnl-nl
174 199542|lon-gb
174 199563|zrh-ch
174 199597|fra-de
174 199603|mad-es
174 199625|fra-de
174 199652|mad-es
174 199668|par-fr
174 199677|par-fr
174 199713|lon-gb
174 199717|lon-gb
174 199772|par-fr
174 199775|lon-gb
174 199783|par-fr
174 199843|amstnl-nl
174 199870|lon-gb
174 199909|lon-gb
174 199941|mil-it
174 199946|lon-gb
174 200031|waw-pl
174 200050|par-fr
174 200064|mad-es
174 200072|mad-es
174 200099|amstnl-nl
174 200108|mil-it
174 200164|lon-gb
174 200165|mad-es
174 200174|dub-ie
174 200451|dub-ie
174 200480|mil-it
174 200541|lon-gb
174 200552|lon-gb
174 200565|dub-ie
174 200589|par-fr
174 200661|mad-es
174 200692|par-fr
174 200700|lon-gb
174 200730|amstnl-nl
174 200736|ath-gr
174 200780|par-fr
174 200781|lon-gb
174 200811|mad-es
174 200843|par-fr
174 200845|mad-es
174 200858|mil-it
174 200869|buc-ro,zrh-ch
174 200884|bru-be
174 200956|mad-es
174 200966|waw-pl
174 200994|lon-gb
174 200995|par-fr
174 201019|waw-pl
174 201050|bru-be
174 201058|mil-it
174 201127|mil-it
174 201158|fra-de
174 201188|par-fr
174 201196|fra-de
174 201232|amstnl-nl
174 201251|lis-pt
174 201324|par-fr
174 201346|mad-es
174 20139|yto-ca
174 201446|mad-es
174 201473|lon-gb
174 201506|lon-gb
174 201518|mil-it
174 201536|lon-gb
174 201553|mad-es
174 201563|zag-hr
174 201573|lon-gb
174 201602|mil-it
174 201607|dub-ie
174 201634|amstnl-nl
174 201665|amstnl-nl
174 201675|par-fr
174 20171|yto-ca
174 201722|mil-it
174 201730|prg-cz
174 201746|mad-es
174 201770|par-fr
174 201782|lis-pt
174 201798|lon-gb
174 201814|waw-pl
174 201817|amstnl-nl
174 201833|fra-de
174 201838|lon-gb
174 201843|mad-es
174 201867|lon-gb
174 201873|amstnl-nl
174 201883|amstnl-nl
174 201896|par-fr
174 201939|par-fr
174 201942|mad-es
174 201979|amstnl-nl
174 202020|lon-gb
174 202042|ath-gr
174 202052|lon-gb
174 202583|mad-es
174 202587|lon-gb
174 202623|lux-lu
174 202686|mad-es
174 202691|zrh-ch
174 202750|fra-de
174 202761|mil-it
174 202766|mad-es
174 202813|mad-es
174 202814|mad-es
174 202829|mad-es
174 202865|mil-it
174 202884|par-fr
174 202885|fra-de,lon-gb
174 202894|zrh-ch
174 202952|amstnl-nl
174 203055|lux-lu
174 203057|lon-gb
174 203061|lon-gb
174 203121|lon-gb
174 203150|mil-it
174 203177|lon-gb
174 203223|mil-it
174 203227|waw-pl
174 203245|sto-se
174 20324|yto-ca
174 203277|mad-es
174 203381|dub-ie
174 203432|par-fr
174 203482|amstnl-nl
174 203485|mil-it
174 203499|mad-es
174 203544|par-fr
174 203584|par-fr
174 203591|mil-it
174 203596|par-fr
174 203608|par-fr
174 203620|waw-pl
174 203656|lon-gb
174 203698|par-fr
174 203712|mad-es
174 203749|lon-gb
174 203924|fra-de
174 203936|mad-es
174 203937|waw-pl
174 203947|par-fr,fra-de,lon-gb
174 203964|zag-hr
174 203967|amstnl-nl
174 203969|fra-de
174 203989|mad-es
174 204018|lon-gb
174 204092|par-fr
174 204121|mil-it
174 204139|buc-ro
174 204142|par-fr
174 204180|mil-it
174 204182|bru-be
174 204204|lon-gb
174 204207|par-fr
174 204242|lon-gb
174 20459|fra-de,lon-gb
174 20473|lon-gb
174 20535|fra-de
174 205845|fra-de
174 205920|mad-es
174 206087|lon-gb
174 20618|cph-dk
174 206278|fra-de
174 206299|mil-it
174 206372|lon-gb
174 206404|mad-es
174 206497|amstnl-nl
174 206652|ath-gr
174 206690|fra-de
174 206747|lon-gb
174 206752|mad-es
174 206774|sto-se
174 206866|mad-es
174 206943|fra-de
174 206945|mad-es
174 206954|mad-es
174 206988|mil-it
174 207096|lon-gb
174 207136|mad-es
174 207223|fra-de
174 207234|fra-de
174 20860|lon-gb
174 20893|zrh-ch
174 20915|lon-gb
174 20926|par-fr
174 20928|par-fr
174 20940|lis-pt,ath-gr
174 20952|lon-gb
174 20963|lon-gb
174 20973|mad-es
174 20994|par-fr
174 21003|par-fr
174 21021|waw-pl
174 21042|par-fr
174 2107|lju-si
174 2108|zag-hr
174 21159|fra-de
174 2116|osl-no
174 21213|vie-at
174 21235|fra-de
174 21244|waw-pl
174 21260|lon-gb
174 21277|fra-de
174 21309|mil-it
174 21321|lon-gb,fra-de
174 2134|mad-es
174 21488|iev-ua
174 21502|par-fr
174 21552|yto-ca
174 21570|yto-ca
174 21740|dub-ie
174 21775|yto-ca
174 21986|yto-ca
174 2200|par-fr
174 22071|par-fr
174 22317|lon-gb
174 22363|yto-ca
174 22705|yto-ca
174 22791|lon-gb
174 22822|lon-gb
174 22923|yto-ca
174 22995|yto-ca
174 23015|yto-ca
174 23136|yto-ca
174 23237|yto-ca
174 23746|lon-gb
174 23889|lon-gb
174 239|yto-ca
174 24592|mad-es
174 24603|fra-de
174 24709|waw-pl
174 24711|par-fr
174 24720|lon-gb
174 24750|sof-bg
174 24768|lis-pt
174 24776|par-fr
174 24806|prg-cz
174 24830|mad-es
174 24880|mil-it
174 24916|lon-gb
174 24951|zrh-ch
174 25002|mil-it
174 25122|lon-gb
174 25222|amstnl-nl
174 25229|iev-ua
174 25273|lux-lu
174 25277|zag-hr
174 25358|par-fr
174 25376|lon-gb
174 25394|fra-de
174 25466|sto-se
174 2549|mex-mx
174 25509|lon-gb
174 25512|prg-cz
174 25627|mad-es
174 25689|yto-ca
174 25805|yto-ca
174 25818|lon-gb
174 25885|lon-gb
174 2589|lon-gb
174 25952|lon-gb
174 26057|yto-ca
174 26071|yto-ca
174 26110|yto-ca
174 26120|amstnl-nl
174 262206|lon-gb
174 263114|mex-mx
174 263127|mex-mx
174 263167|mex-mx
174 26541|lon-gb
174 265503|mex-mx
174 265509|mex-mx
174 265517|mex-mx
174 26662|lon-gb
174 26677|yto-ca
174 26838|yto-ca
174 26932|yto-ca
174 26944|yto-ca
174 26996|yto-ca
174 27173|par-fr
174 27313|amstnl-nl
174 27367|yto-ca
174 27385|amstnl-nl
174 27471|yto-ca,amstnl-nl,lon-gb
174 27495|par-fr
174 27705|mex-mx
174 28378|mex-mx
174 28387|mex-mx
174 28397|mex-mx
174 28408|mex-mx
174 28409|mex-mx
174 28453|mex-mx
174 28458|mex-mx
174 28466|mex-mx
174 28478|mex-mx
174 2860|lis-pt
174 28757|lon-gb
174 28768|par-fr
174 28786|lon-gb
174 28837|fra-de
174 28907|iev-ua
174 28941|mil-it
174 28988|bru-be
174 28999|mil-it
174 29003|lis-pt
174 29045|lon-gb
174 29049|sof-bg
174 29091|lon-gb
174 29100|cph-dk
174 29117|mad-es
174 29129|lon-gb
174 29165|fra-de
174 29169|par-fr
174 29322|par-fr
174 29391|lon-gb
174 29401|bts-sk
174 29513|par-fr
174 29583|prg-cz
174 29596|waw-pl
174 29606|lon-gb
174 29607|osl-no
174 29611|lon-gb
174 29636|lon-gb
174 29639|par-fr
174 29691|zrh-ch
174 29773|yto-ca
174 29862|yto-ca
174 29974|yto-ca
174 30017|yto-ca
174 30028|yto-ca
174 30150|lon-gb
174 30283|amstnl-nl
174 30446|lon-gb
174 30507|yto-ca
174 30529|yto-ca
174 30539|yto-ca
174 30741|par-fr
174 30742|fra-de
174 30798|hel-fi
174 30818|amstnl-nl
174 30838|waw-pl
174 30848|mil-it
174 30858|ath-gr
174 30893|sto-se
174 30914|lon-gb
174 30919|par-fr
174 30933|lon-gb
174 30935|zrh-ch
174 30938|lon-gb
174 30950|osl-no
174 30967|lon-gb,amstnl-nl
174 30975|waw-pl
174 30990|par-fr,lon-gb
174 30998|lon-gb
174 31015|yto-ca
174 31059|lon-gb
174 31133|sto-se
174 31180|par-fr
174 31222|mil-it
174 31273|lon-gb
174 31452|par-fr
174 31479|mad-es
